Size,DataType,Algorithm,Time_Seconds
100000,Sorted,Heap,0.010269000
100000,Sorted,Counting,0.000437000
100000,Sorted,Radix,0.002262000
100000,Reverse,Bubble,TIMEOUT
100000,Reverse,Insertion,5.513661000
100000,Reverse,Selection,3.969314000
100000,Reverse,Merge,0.007075000
100000,Reverse,Quick,0.005602000
100000,Reverse,Heap,0.010064000
100000,Reverse,Counting,0.000397000
100000,Reverse,Radix,0.002869000
100000,Few_Unique,Bubble,TIMEOUT
100000,Few_Unique,Insertion,2.138660000
100000,Few_Unique,Selection,3.763982000
100000,Few_Unique,Merge,0.009199000
100000,Few_Unique,Quick,0.583208000
100000,Few_Unique,Heap,0.013982000
100000,Few_Unique,Counting,0.001526000
100000,Few_Unique,Radix,0.002625000
100000,Nearly_Sorted,Bubble,5.414518000
100000,Nearly_Sorted,Insertion,0.339144000
100000,Nearly_Sorted,Selection,3.766358000
100000,Nearly_Sorted,Merge,0.008229000
100000,Nearly_Sorted,Quick,0.005073000
100000,Nearly_Sorted,Heap,0.010987000
100000,Nearly_Sorted,Counting,0.000450000
100000,Nearly_Sorted,Radix,0.002346000
